Bracket,mean,std,50%,Removed Match Count,No Chat Count
herald,2.540514775977121,1.439136762176903,2.0,14,107
guardian,2.3987730061349692,1.367288004336998,2.0,25,129
crusader,2.3807106598984773,1.34203215589545,2.0,22,111
archon,2.4077868852459017,1.3518082171942811,2.0,36,114
legend,2.311043566362715,1.3159613154262646,2.0,13,117
ancient,2.321499013806706,1.340091538731838,2.0,20,113
divine,2.4108053007135575,1.352792072583715,2.0,21,104
immortal,2.3448616600790513,1.3982620555873502,2.0,10,122
